,sentence,pred_sentence_tok,sentence_tok,pred_sentence
10,กากไงเพิ่มนี่เพิ่มหิวหรือเพิ่มขาดเดี๋ยวจะจัดให้เพิ่มทุกทีอ่า,กาก ไง เพิ่ม นี่ เพิ่ม หิว หรือ เพิ่ม ขาด เดี๋ยว จะ จัด ให้ เพิ่ม ทุกที อ่า,กาก ไง เพิ่ม นี่ เพิ่ม หิว หรือ เพิ่ม ขาด เดี๋ยว จะ จัด ให้ เพิ่ม ทุกที อ่า,กากไงเพิ่มนี่เพิ่มหิวหรือเพิ่มขาดเดี๋ยวจะจัดให้เพิ่มทุกทีอ่า
11,นี่ถ้าพูดอีกสักสองสามรอบนี่กูบ้าตามแน่แน่,นี่ ถ้า พูด อีก สัก สอง สาม รอบ นี่ กู บ้า ตาม แน่ แน่,นี่ ถ้า พูด อีก สัก สอง สาม รอบ นี่ กู บ้า ตาม แน่ แน่,นี่ถ้าพูดอีกสักสองสามรอบนี่กูบ้าตามแน่แน่
12,เอาดินาคอสนาคอสนี่นี่วีร่าวีร่าเอาดิเดี๋ยวผมรอนะผมรอมีวีร่าอยู่ในป่าอยู่,วัน ถิ นะ ควาร์นคนนี มี พิ ราด เล ล่ะ ออ ดี เดี่ยผมรอ นะ ผม ลอง มี ร่า ด ยะ ตา อยู่,เอา ดิ นา คอ ส นา คอ ส นี่ นี่ วี ร่า วี ร่า เอา ดิ เดี๋ยว ผม รอ นะ ผม รอ มี วี ร่า อยู่ ใน ป่า อยู่,วันถินะควาร์นคนนีมีพิราดเลล่ะออดีเดี่ยผมรอนะผมลองมีร่าดยะตาอยู่
13,มึงทำแค่นี้แล้วมึงได้ขนาดนี้,มึง ทำ แค่นี้ แล้ว มึง ได้ขนาด นี้,มึง ทำ แค่นี้ แล้ว มึง ได้ขนาด นี้,มึงทำแค่นี้แล้วมึงได้ขนาดนี้
14,มันเป็นข้อดีด้วยซ้ำไม่ใช่เหรอที่การสันนิษฐานของมึง,มัน เป็น ข้อดี ด้วยซ้ำ ไม่ ใช่ เหรอ ที่ การสันนิษฐาน ของ มึง,มัน เป็น ข้อดี ด้วยซ้ำ ไม่ ใช่ เหรอ ที่ การสันนิษฐาน ของ มึง,มันเป็นข้อดีด้วยซ้ำไม่ใช่เหรอที่การสันนิษฐานของมึง
15,มึงแยกไม่ออกด้วยซ้ำว่าแม่งคือคนละคลิปกัน,มึง แยก ไม่ ออก ด้วย ซ้[ UNK ]า ว่า แม่ งือ คนละ คลิป กัน,มึง แยก ไม่ ออก ด้วยซ้ำ ว่า แม่ ง คือ คนละ คลิป กัน,มึงแยกไม่ออกด้วยซ้[UNK]าว่าแม่งือคนละคลิปกัน
16,ปากีอ่ะหิวหีด้วย,อึ ปาก กี อ่ะ เสีย ึว หี ด้วย,ปากี อ่ะ หิว หี ด้วย,อึปากกีอ่ะเสียึวหีด้วย
17,เค้าจะใช้แฮ็คก็เรื่องของเขามันไม่ได้เกี่ยวกับเรา,เค้า จะ ใช้ แฮ็ค ก็ เรื่อง ของ เขา มัน ไม่ ได้ เกี่ยวกับ เรา,เค้า จะ ใช้ แฮ็ค ก็ เรื่อง ของ เขา มัน ไม่ ได้ เกี่ยวกับ เรา,เค้าจะใช้แฮ็คก็เรื่องของเขามันไม่ได้เกี่ยวกับเรา
18,เป็นควายนะไอ้เหี้ย,มึ เป็น ควาย นั่ ไอ้ เหี้ย,เป็น ควาย นะ ไอ้ เหี้ย,มึเป็นควายนั่ไอ้เหี้ย
19,นี่น่าจะเป็นเป้าหมายหลักเป้าหมายหลักครับที่โอตะตัวปลอมใช้ในการก๊อปปี้,นี่ น่าจะเป็น เป้า หาย หลัก [ UNK ] ครับ ที่ โอ ตะ ตัว ปลอม ใช้ ใน การก๊อปปี้,นี่ น่าจะเป็น เป้าหมายหลัก เป้าหมายหลัก ครับ ที่ โอ ตะ ตัว ปลอม ใช้ ใน การก๊อปปี้,นี่น่าจะเป็นเป้าหายหลัก[UNK]ครับที่โอตะตัวปลอมใช้ในการก๊อปปี้
20,เดี๋ยวนี้ก๊อปมันเป็นคำคำหนึ่งที่แบบมึงอยากจะใช้มึงก็ใช้,เดี๋ยวนี้ ก๊อ ป มัน เป็น ค[ UNK ]า คำ หนึ่ง ที่ แบบ มึง อยาก จะ ใช้ มึง ก็ ใช้,เดี๋ยวนี้ ก๊อ ป มัน เป็น คำ คำ หนึ่ง ที่ แบบ มึง อยาก จะ ใช้ มึง ก็ ใช้,เดี๋ยวนี้ก๊อปมันเป็นค[UNK]าคำหนึ่งที่แบบมึงอยากจะใช้มึงก็ใช้
21,ที่สำคัญกว่านั้นก็คือเราสามารถที่จะบอกวิธีแก้ไขปัญหา,ที่ สำคัญ กว่า นั้น ก็ คือ เรา สามารถ ที่จะ บอก วิธี แก้ไขปัญหา,ที่ สำคัญ กว่า นั้น ก็ คือ เรา สามารถ ที่จะ บอก วิธี แก้ไขปัญหา,ที่สำคัญกว่านั้นก็คือเราสามารถที่จะบอกวิธีแก้ไขปัญหา
22,เอ่าเอ้าเอ้าแล้วคือเหี้ยอะไรกูกดกลับไม่ได้โอ้ยสมองกูเป็นเหี้ยอะไร,เอ่าเอ้าเอ้า แล้ว คือ เหี้ย อะไร กู กด กลับ ไม่ ได้ โอ้ย สมอง กู เป็น เหี้ย อะไร,เอ่าเอ้าเอ้า แล้ว คือ เหี้ย อะไร กู กด กลับ ไม่ ได้ โอ้ย สมอง กู เป็น เหี้ย อะไร,เอ่าเอ้าเอ้าแล้วคือเหี้ยอะไรกูกดกลับไม่ได้โอ้ยสมองกูเป็นเหี้ยอะไร
23,แม่มึงอ่ะเหลืองเตอะฟันมึงเองรึป่าวไอ้ควาย,แม่ มึง ก็ เหลือง เติด ฟัน มึง ก เอง รึ บ บ่ายควาย,แม่ มึง อ่ะ เหลือง เตอะ ฟัน มึง เอง รึ ป่าว ไอ้ ควาย,แม่มึงก็เหลืองเติดฟันมึงกเองรึบบ่ายควาย
24,ใสมากกูคือกูใสแบบใสสัดสัดเลยเราไม่รู้เปิดกูเกิลไปปั้บที่นี่กด,ใส มาก กู ก คือ กู ใส เก รบ ใส สัด สัส เลย เรา ไม่ รู้ เว้ย เปิด กู เก ัน ไป ปั้บ ถี่ ะ,ใส มาก กู คือ กู ใส แบบ ใส สัด สัด เลย เรา ไม่ รู้ เปิด กูเกิล ไป ปั้บ ที่นี่ กด,ใสมากกูกคือกูใสเกรบใสสัดสัสเลยเราไม่รู้เว้ยเปิดกูเกันไปปั้บถี่ะ
25,วินแล้วแล้วก็มีผู้หญิงคนนึงซ้อนท้ายแล้วก็บอกบ๊ายบายเดี๋ยวชั่วโมงนึงพี่กลับมานะซันนี่แล้วก็นั่งมอไซวินไปบึ้น,วิน แล้ว มี ผ้หิงคน นึง มัน ซ้อนท้าย แล้วก็ บอก ไม่ บ่าย เดียก ชั่วโมง หนึ่ง ที่ ับ มานะ สะ นี่ แล้ว นั่ง อ ไซ ิน,วิน แล้ว แล้วก็ มี ผู้หญิง คน นึง ซ้อนท้าย แล้วก็ บอก บ๊ายบาย เดี๋ยว ชั่วโมง นึง พี่ กลับ มานะ ซันนี่ แล้วก็ นั่ง มอ ไซ วิน ไป บึ้น,วินแล้วมีผ้หิงคนนึงมันซ้อนท้ายแล้วก็บอกไม่บ่ายเดียกชั่วโมงหนึ่งที่ับมานะสะนี่แล้วนั่งอไซิน
26,ไม่ใช่ครับคริ้นที่มึงนี่แหละ,ไม่ ใช่ ครับ ค ริ้น ที่ มึง นี่แหละ,ไม่ ใช่ ครับ ค ริ้น ที่ มึง นี่แหละ,ไม่ใช่ครับคริ้นที่มึงนี่แหละ
27,แร็ปกูจับไมค์แต่ว่าในใจอยากจับนมนะฮือมึงควรดูบ้องด้วย,แร็ป กู จับ ไมค์ แต่ว่า ใน ใจ อยาก จับ นม นะ ฮือ มึง ควร ดู บ้อง ด้วย,แร็ป กู จับ ไมค์ แต่ว่า ใน ใจ อยาก จับ นม นะ ฮือ มึง ควร ดู บ้อง ด้วย,แร็ปกูจับไมค์แต่ว่าในใจอยากจับนมนะฮือมึงควรดูบ้องด้วย
28,แต่เราลองมาฟังดูดีกว่าครับว่าปรสิตคุงเนี้ยจะว่ายังไง,แต่ เรา ลอง มา ฟัง ดู ดีกว่า ครับ ว่า ปรสิต คุง เนี้ย จะ ว่า ยังไง,แต่ เรา ลอง มา ฟัง ดู ดีกว่า ครับ ว่า ปรสิต คุง เนี้ย จะ ว่า ยังไง,แต่เราลองมาฟังดูดีกว่าครับว่าปรสิตคุงเนี้ยจะว่ายังไง
29,เห้ยทำไมวันไหนมันยากมันก็จะยากทุกเกมเลยวะไอ้เหี้ย,เห้ย ทำไม วัน ไหน มัน ยาก มัน ก็ จะ ยาก ทุก เกม เลย วะ ไอ้ เหี้ย,เห้ย ทำไม วัน ไหน มัน ยาก มัน ก็ จะ ยาก ทุก เกม เลย วะ ไอ้ เหี้ย,เห้ยทำไมวันไหนมันยากมันก็จะยากทุกเกมเลยวะไอ้เหี้ย
30,บอกคนทั้งซอยหรอกมึงกลัวกูไม่ตื่นเช้าหรอ,บอก คน ทั้ง ซอย หรอก มึง กลัว กู ไม่ ตื่น เช้า หรอ,บอก คน ทั้ง ซอย หรอก มึง กลัว กู ไม่ ตื่น เช้า หรอ,บอกคนทั้งซอยหรอกมึงกลัวกูไม่ตื่นเช้าหรอ
31,ครับผมไม่ได้เสียอะไรผมทำคลิปดีดีแบบนี้ออกมาแต่มึงไม่ดูเรื่องของมึงดิ,ครับผม ไม่ ได้เสีย อะ ไรผม ท[ UNK ]า คลิป ดี ดี แบบนี้ ออกมา แต่ มึง ไม่ ดู เรื่อง ของ มึง ดิ,ครับผม ไม่ ได้เสีย อะ ไรผม ทำ คลิป ดี ดี แบบนี้ ออกมา แต่ มึง ไม่ ดู เรื่อง ของ มึง ดิ,ครับผมไม่ได้เสียอะไรผมท[UNK]าคลิปดีดีแบบนี้ออกมาแต่มึงไม่ดูเรื่องของมึงดิ
32,คือมึงจะตั้งชื่อคลิปไม่เหมือนปกคลิปไม่เหมือนมึงคิดว่ากูไม่รู้หรอ,คือ มึง จะ ตั้งชื่อ คลิป ไม่ เหมือน ปก คลิป ไม่ เหมือน มึง คิด ว่า กู ไม่ รู้ หรอ,คือ มึง จะ ตั้งชื่อ คลิป ไม่ เหมือน ปก คลิป ไม่ เหมือน มึง คิด ว่า กู ไม่ รู้ หรอ,คือมึงจะตั้งชื่อคลิปไม่เหมือนปกคลิปไม่เหมือนมึงคิดว่ากูไม่รู้หรอ
33,คือมึงทำได้เวอร์เหี้ยเหี้ยเลย,คือ มึง ทำได้ เวอร์ เหี้ย เหี้ย เลย,คือ มึง ทำได้ เวอร์ เหี้ย เหี้ย เลย,คือมึงทำได้เวอร์เหี้ยเหี้ยเลย
34,แม่งลอยไปนเสา,แม่ ง ลอย ไป น เสา,แม่ ง ลอย ไป น เสา,แม่งลอยไปนเสา
35,กูเซ็ทมายเซ็ทละกูพูดอะไรในนี้ก็ถือว่าสมมุติละกันมันเป็นเรื่องสมมุติมันมันเป็นอิสลาม,เอา กู เส้น ไม ใช่ แล้ว กู พูด อะไร อย่า งี้ กัน เนอ ครับ ถอ ว่า สมมติ ระ งั้น มัน เป็นเรื่อง สมมุติ มัน มัน เป็น อิส ลา,กู เซ็ท มาย เซ็ท ละ กู พูด อะไร ใน นี้ ก็ ถือว่า สมมุติ ละ กัน มัน เป็นเรื่อง สมมุติ มัน มัน เป็น อิสลาม,เอากูเส้นไมใช่แล้วกูพูดอะไรอย่างี้กันเนอครับถอว่าสมมติระงั้นมันเป็นเรื่องสมมุติมันมันเป็นอิสลา
36,ผิดครับไอ้สัสยังคงมุ่งมั่นแน่วแน่ตรงคอนเซปต์ของตัวเองคลิปของคนอื่นร้อยเปอร์เซ็น,ผิด ครับ ไอ้ สัส ยังคง มุ่งมั่น แน่วแน่ ตรง คอนเซปต์ ของ ตัวเอง คลิป ของ คนอื่น ร้ย เปอร์ เซ็น,ผิด ครับ ไอ้ สัส ยังคง มุ่งมั่น แน่วแน่ ตรง คอนเซปต์ ของ ตัวเอง คลิป ของ คนอื่น ร้อย เปอร์ เซ็น,ผิดครับไอ้สัสยังคงมุ่งมั่นแน่วแน่ตรงคอนเซปต์ของตัวเองคลิปของคนอื่นร้ยเปอร์เซ็น
37,ตายตายกูตาย,ตาย ตาย กู ตาย,ตาย ตาย กู ตาย,ตายตายกูตาย
38,กูจะ,กู จะ,กู จะ,กูจะ
39,ครับโอเคเข้าใจตรงกันนะมึงรับไม่ได้มึงออกแชทไปมงออกไปถ้า,ครับ โอเค เข้าใจ ตรงนั้น นะ มึง ลับ ไม่ ได้ มึง ออก แช ไป มึง ออก ไป ถ้า,ครับ โอเค เข้า ใจตรงกัน นะ มึง รับ ไม่ ได้ มึง ออก แชท ไป มง ออก ไป ถ้า,ครับโอเคเข้าใจตรงนั้นนะมึงลับไม่ได้มึงออกแชไปมึงออกไปถ้า
40,เว้ยกูหงุดหงิดจริงนะเว้ย,เว้ย กู หงุดหงิด จริง นะ เว้ย,เว้ย กู หงุดหงิด จริง นะ เว้ย,เว้ยกูหงุดหงิดจริงนะเว้ย
41,เด้าใตดูเต่งตึงตอนตบเต้าเห็นแล้วอยากตบเต้าไต่อยากให้เต้าใต่มาตบ,เด้า ใต ดู เต่งตึง ตอน ตบ เต้า เห็น แล้ว อยาก ตบ เต้า ไต่ อยาก ให้ เต้า ใต่ มา ตบ,เด้า ใต ดู เต่งตึง ตอน ตบ เต้า เห็น แล้ว อยาก ตบ เต้า ไต่ อยาก ให้ เต้า ใต่ มา ตบ,เด้าใตดูเต่งตึงตอนตบเต้าเห็นแล้วอยากตบเต้าไต่อยากให้เต้าใต่มาตบ
42,ผมทำคลิปตำนานกับมันเนี่ยครับมันไม่ตอบเลยมันบอกว่ามันจะ,ผม ท[ UNK ]า คลิป ต[ UNK ]า นาน กับ มัน เนี่ย ครับ มัน ไม่ ตอบ เลย มัน บอ กว่า มัน จะ,ผม ทำ คลิป ตำนาน กับ มัน เนี่ย ครับ มัน ไม่ ตอบ เลย มัน บอ กว่า มัน จะ,ผมท[UNK]าคลิปต[UNK]านานกับมันเนี่ยครับมันไม่ตอบเลยมันบอกว่ามันจะ
43,ไม่ใช่แค่ตัวละครที่มึงจินตนาการขึ้นมา,ไม่ ใช่ แค่ ตัวละคร ที่ มึง จินตนาการ ขึ้น มา,ไม่ ใช่ แค่ ตัวละคร ที่ มึง จินตนาการ ขึ้น มา,ไม่ใช่แค่ตัวละครที่มึงจินตนาการขึ้นมา
44,ภาพหน้าตูดหน้าบูดเป็นตูดแทยอยากจะสับสักสักศอกใส่อีห่านี้แล้วให้กูออกหลังร้านด้วยไม่ให้,ภาพ หน้า ตูด น่า บูด เป็น ตูด แทง แท่ บอ ยาก จะ สัสัสัส สอง ส อี หา เนี่ และ ให้ กู ออก หลัง ล้าน ด้ย ไม่ ห็,ภาพ หน้า ตูด หน้าบูด เป็น ตูด แทย อยาก จะ สับ สัก สัก ศอก ใส่ อี ห่า นี้ แล้ว ให้ กู ออก หลัง ร้าน ด้วย ไม่ ให้,ภาพหน้าตูดน่าบูดเป็นตูดแทงแท่บอยากจะสัสัสัสสองสอีหาเนี่และให้กูออกหลังล้านด้ยไม่ห็
45,แบบเออกูอยากจะแบบถอกควยออกมาแล้วแบบชักให้พวกมึงดูเลยไอ้เหี้ยกูหงุดหงิดวะ,แบบ เออ กู อยาก จะ แบบ ถอก ควย ออกมา แล้ว แบบ ชัก ให้ พวก มึง ดู เลย ไอ้ เหี้ย กู หงุดหงิด วะ,แบบ เออ กู อยาก จะ แบบ ถอก ควย ออกมา แล้ว แบบ ชัก ให้ พวก มึง ดู เลย ไอ้ เหี้ย กู หงุดหงิด วะ,แบบเออกูอยากจะแบบถอกควยออกมาแล้วแบบชักให้พวกมึงดูเลยไอ้เหี้ยกูหงุดหงิดวะ
46,ค้อนทุบโทรศัพท์นี้ทิ้,ควั้น ทุกข์ โทรศัพท์ นี่ ช่วย เอ่ะ คือ ผม ซื่อ มา ศาดท์ แส ณะเคื่อาง จะ ออ กบ อกรา คาใจ เต็ม ก็ได้,ค้อน ทุบ โทรศัพท์ นี้ ทิ้,ควั้นทุกข์โทรศัพท์นี่ช่วยเอ่ะคือผมซื่อมาศาดท์แสณะเคื่อางจะออกบอกราคาใจเต็มก็ได้
47,ไอ้เหี้ย,ไอ้ เหี้ย,ไอ้ เหี้ย,ไอ้เหี้ย
48,ไอ้ควายไอ้เด็กั่วไอ้ต๋อย,ไอ้ ควาย ไอ้ เด็ก ั่ว ไอ้ ต๋อย,ไอ้ ควาย ไอ้ เด็ก ั่ว ไอ้ ต๋อย,ไอ้ควายไอ้เด็กั่วไอ้ต๋อย
49,มันเป็นการก๊อปที่ไม่จำเป็นโดนแดกได้ง่ายและยังเสี่ยงถูกประจานอีกด้วย,มัน เป็นการ ก๊อ ป ที่ ไม่ จ[ UNK ]า เป็น โดน แดก ได้ ง่าย และ ยัง เสี่ยง ถูก ประจาน อีกด้วย,มัน เป็นการ ก๊อ ป ที่ ไม่ จำเป็น โดน แดก ได้ ง่าย และ ยัง เสี่ยง ถูก ประจาน อีกด้วย,มันเป็นการก๊อปที่ไม่จ[UNK]าเป็นโดนแดกได้ง่ายและยังเสี่ยงถูกประจานอีกด้วย
50,รู้สึกผูกพันใช่ไหมละครับคือเราแทบไม่ได้มีปฏิสัมพันธ์,รู้สึก ผูกพัน ใช่ไหม ละ ครับ คือ เรา แทบ ไม่ ได้ มี ปฏิสัมพันธ์,รู้สึก ผูกพัน ใช่ไหม ละ ครับ คือ เรา แทบ ไม่ ได้ มี ปฏิสัมพันธ์,รู้สึกผูกพันใช่ไหมละครับคือเราแทบไม่ได้มีปฏิสัมพันธ์
51,มันก็เอาคลิปของคนอื่นมาประกอบทั้งทั้งที่มึงก็เล่นเกมนั้น,มัน ก็ เอา คลิป ของ คนอื่น มา ประกอบ ทั้ง ทั้งที่ มึง ก็ เล่น เกม นั้น,มัน ก็ เอา คลิป ของ คนอื่น มา ประกอบ ทั้ง ทั้งที่ มึง ก็ เล่น เกม นั้น,มันก็เอาคลิปของคนอื่นมาประกอบทั้งทั้งที่มึงก็เล่นเกมนั้น
52,เหี้ยเป็นโรคแบบโรคคนดังกูไม่กินของหวานกูคือไม่กินของหวานคือไม่กินขนมเลยบนโลก,เอี้ย เป็น โลก แบบ โลก คนดัง กู จอ กู ไม่ กิน ของหวาน กู คือ ไม่ ใช่ นข อง ห วัน กู ู กู ไม่ กิน ขนม เลย มัน โล,เหี้ย เป็นโรค แบบ โรค คนดัง กู ไม่ กิน ของหวาน กู คือ ไม่ กิน ของหวาน คือ ไม่ กิน ขนม เลย บน โลก,เอี้ยเป็นโลกแบบโลกคนดังกูจอกูไม่กินของหวานกูคือไม่ใช่นของหวันกููกูไม่กินขนมเลยมันโล
53,ไม่มีใครเขาเคยบอกหรอว่ามึงฆ่าตำนานไม่ได้,ไม่ มี ใคร เขา เคย บอก หรอ ว่า มึง ฆ่า ตำนาน ไม่ ได้,ไม่ มี ใคร เขา เคย บอก หรอ ว่า มึง ฆ่า ตำนาน ไม่ ได้,ไม่มีใครเขาเคยบอกหรอว่ามึงฆ่าตำนานไม่ได้
54,สอนตัวเองเถอะไอ้เวรมึงอ่ะดูตัวมึงก่อน,สอด ตัวเอง ถอ ไอ้เวร มึง กะ ทุก ตัว มา ก่อน,สอน ตัวเอง เถอะ ไอ้เวร มึง อ่ะ ดูตัว มึง ก่อน,สอดตัวเองถอไอ้เวรมึงกะทุกตัวมาก่อน
55,กูโปะไข่ให้ด้วยไอ้เหี้ยร้อนร้อนนาบหน้าแม่งอ่ะไอ้สัด,กู โปะ ไข่ ให้ ด้วย ไอ้ เหี้ย ร้อน ร้อน นาบ หน้า แม่ ง อ่ะ ไอ้ สัด,กู โปะ ไข่ ให้ ด้วย ไอ้ เหี้ย ร้อน ร้อน นาบ หน้า แม่ ง อ่ะ ไอ้ สัด,กูโปะไข่ให้ด้วยไอ้เหี้ยร้อนร้อนนาบหน้าแม่งอ่ะไอ้สัด
56,ไอ้เหี้ย,ไอ้ เหี้ย ย,ไอ้ เหี้ย,ไอ้เหี้ยย
57,เป็นหัวเป็นไก่แจ้แล้วไม่ใช่ค่าจะไม่ใช่ตรงไหน,โอ้ โอ้ เหี่ย เป็น หัว า ไป ไก่แจ้ ไร ที่ ค ไม่ ใช่ ข้าง แล่ ไม่ ใช่ ตรงไหน,เป็น หัว เป็น ไก่แจ้ แล้ว ไม่ ใช่ ค่า จะ ไม่ ใช่ ตรงไหน,โอ้โอ้เหี่ยเป็นหัวาไปไก่แจ้ไรที่คไม่ใช่ข้างแล่ไม่ใช่ตรงไหน
58,แต่วันใดวันหนึ่งที่ผลประโยชน์เริ่มต่างออกไปเริ่มมีอะไรที่ขัดใจกันเอง,แต่ วันใดวันหนึ่ง ที่ ผลประโยชน์ เริ่ม ต่าง ออก ไป เริ่ม มี อะไร ที่ ขัดใจ กันเอง,แต่ วันใดวันหนึ่ง ที่ ผลประโยชน์ เริ่ม ต่าง ออก ไป เริ่ม มี อะไร ที่ ขัดใจ กันเอง,แต่วันใดวันหนึ่งที่ผลประโยชน์เริ่มต่างออกไปเริ่มมีอะไรที่ขัดใจกันเอง
59,ทำไมมึงถึงต้องเอาคลิปคนอื่นมาประกอบอ่ะ,ท[ UNK ]าไม มึง ถึง ต้อง เอา คลิป คนอื่น มา ประกอบ อ่ะ,ทำไม มึง ถึง ต้อง เอา คลิป คนอื่น มา ประกอบ อ่ะ,ท[UNK]าไมมึงถึงต้องเอาคลิปคนอื่นมาประกอบอ่ะ
60,เอาไงจ้ะเห้ยเซฟิสเซฟิสดึงมาดิเซฟิสสวยเซฟิสเซฟิส,เอา ไง สะ ไอ้ ใช้ สิ ด จิ ด สิ ด ดึง มา ท้่ จะ เสี้ยอ ไร จัพิ๊ง สวย ตัน ไหม ต่ป เต่า,เอา ไง จ้ะ เห้ย เซ ฟิส เซ ฟิส ดึง มา ดิ เซ ฟิส สวย เซ ฟิส เซ ฟิส,เอาไงสะไอ้ใช้สิดจิดสิดดึงมาท้่จะเสี้ยอไรจัพิ๊งสวยตันไหมต่ปเต่า
61,กูปัญญาอ่อนไง,กู ปัญญาอ่อน นะ,กู ปัญญาอ่อน ไง,กูปัญญาอ่อนนะ
62,โมงครึ่งมีแต่เกมเหี้ยอะไรอย่างงี้ให้กูเล่นกูก็แม่งก็เล่นเป็นควายเลยสัด,โมง ครึ่ง มี แต่ เกม เหี้ย อะไร อย่างงี้ ให้ กู เล่น กู ก็ แม่ ง ก็ เล่น เป็น ควาย เลย สัด,โมง ครึ่ง มี แต่ เกม เหี้ย อะไร อย่างงี้ ให้ กู เล่น กู ก็ แม่ ง ก็ เล่น เป็น ควาย เลย สัด,โมงครึ่งมีแต่เกมเหี้ยอะไรอย่างงี้ให้กูเล่นกูก็แม่งก็เล่นเป็นควายเลยสัด
